employee_number,org_location,check_sequence,check_number,business_date,open_time,close_time,is_take_out,total_amount,food_amount,beer_amount,wine_amount,liquor_amount,misc_amount,charge_tip_amount,service_charge_tip_amount,external_revenue_center_id
450419,R0023,1129171641,13416,11/29/2022 12:00:00 AM,11/29/2022 5:16:41 PM,11/29/2022 7:13:36 PM,0,88.00,88.00,0.0,0.0,0.0,0.0,20.00,0.00,1
450419,R0023,1129171807,13417,11/29/2022 12:00:00 AM,11/29/2022 5:18:07 PM,11/29/2022 7:13:23 PM,0,78.50,31.00,0.0,34.50,13.00,0.0,20.00,0.00,1
450419,R0023,1129172201,13418,11/29/2022 12:00:00 AM,11/29/2022 5:22:01 PM,11/29/2022 7:26:24 PM,0,109.50,60.00,17.50,16.00,16.00,0.0,21.45,0.00,1
450419,R0023,1129174114,13419,11/29/2022 12:00:00 AM,11/29/2022 5:41:14 PM,11/29/2022 8:44:30 PM,0,190.50,97.00,11.00,21.50,61.00,0.0,40.02,0.00,1
450419,R0023,1129174517,13420,11/29/2022 12:00:00 AM,11/29/2022 5:45:17 PM,11/29/2022 5:53:55 PM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,1
450419,R0023,1129175343,13421,11/29/2022 12:00:00 AM,11/29/2022 5:53:43 PM,11/29/2022 7:13:15 PM,0,82.00,74.00,0.0,0.0,8.00,0.0,20.00,0.00,1
450419,R0023,1129183307,13422,11/29/2022 12:00:00 AM,11/29/2022 6:33:07 PM,11/29/2022 8:30:15 PM,0,132.00,68.00,0.0,40.00,24.00,0.0,28.00,0.00,1
450419,R0023,1129193143,13424,11/29/2022 12:00:00 AM,11/29/2022 7:31:43 PM,11/29/2022 8:33:41 PM,0,36.00,36.00,0.0,0.0,0.0,0.0,8.00,0.00,1
450419,R0023,1129194940,13425,11/29/2022 12:00:00 AM,11/29/2022 7:49:40 PM,11/29/2022 9:05:50 PM,0,80.00,80.00,0.0,0.0,0.0,0.0,18.00,0.00,1
438284,R0023,1129163557,25174,11/29/2022 12:00:00 AM,11/29/2022 4:35:57 PM,11/29/2022 7:15:55 PM,1,200.00,200.00,0.0,0.0,0.0,0.0,10.00,0.00,2
